field_1,CD,CDname,Summer2013,Winter2013,Summer2014,Winter2014,Summer2015,Winter2015,Summer2016,Winter2016,Summer2017,Winter2017,Summer2018
"17","206", Belmont and East Tremont ,11.700,33.100,15.400,26.600,11.000,25.000,8.800,23.300,8.300,20.200,7.700
"18","207", Kingsbridge Heights and Bedford ,12.300,33.000,15.700,26.800,11.200,23.600,8.800,22.900,8.000,21.000,7.500
"19","208", Riverdale and Fieldston ,8.200,27.400,10.700,21.300,6.800,19.200,7.400,19.000,6.500,17.700,6.100
"20","209", Parkchester and Soundview ,10.700,30.400,13.100,25.300,10.100,26.000,8.200,23.100,8.000,19.300,7.400
"21","210", Throgs Neck and Co-op City ,10.000,27.400,12.200,24.800,9.600,25.700,8.000,22.100,7.800,17.300,6.700
"22","211", Morris Park and Bronxdale ,8.600,27.000,11.100,23.100,7.900,21.900,7.400,20.800,6.800,17.700,6.500
"23","212", Williamsbridge and Baychester ,8.000,25.700,10.600,22.500,7.400,21.400,7.800,20.400,6.900,17.600,6.300
"24","301", Greenpoint and Williamsburg ,10.500,39.100,13.600,28.800,10.600,28.500,10.900,23.300,9.300,23.900,9.000
"25","302", Fort Greene and Brooklyn Heights ,13.500,41.500,16.400,31.900,13.700,32.100,12.600,25.100,11.000,26.700,9.600
"26","303", Bedford Stuyvesant ,9.000,37.000,11.700,28.000,9.800,27.300,10.000,22.400,8.500,23.400,8.100
"27","304", Bushwick ,8.300,37.100,11.500,27.400,8.800,26.900,9.800,22.200,8.300,22.400,7.900
"28","305", East New York and Starrett City ,9.500,34.600,11.300,26.600,9.800,28.200,8.600,21.800,7.900,19.400,6.800
"29","306", Park Slope and Carroll Gardens ,10.100,36.900,12.700,28.600,10.600,27.400,10.400,22.000,9.000,23.200,8.200
"30","307", Sunset Park ,9.700,34.300,11.900,27.400,10.200,26.300,9.300,21.300,8.300,21.500,7.600
"31","308", Crown Heights and Prospect Heights ,9.900,38.700,13.500,29.400,10.600,28.600,10.600,23.500,9.100,24.300,8.600
"32","309", South Crown Heights and Lefferts Gardens ,11.000,37.800,13.600,29.100,11.100,28.200,9.900,23.100,8.600,23.700,8.100
"33","310", Bay Ridge and Dyker Heights ,9.200,31.000,11.000,25.900,9.800,23.300,7.600,19.000,7.100,17.500,6.100
"34","311", Bensonhurst ,8.500,29.700,10.400,25.200,9.300,23.100,6.800,19.300,6.600,16.400,5.900
"35","312", Borough Park ,8.900,32.100,10.800,26.000,9.300,24.200,7.800,20.100,7.200,18.900,6.500
"36","313", Coney Island ,7.800,26.400,9.100,23.300,8.700,22.400,5.800,18.600,6.000,13.900,5.300
"37","314", Flatbush and Midwood ,10.800,34.800,13.000,28.100,11.000,26.400,8.400,21.600,7.800,19.800,7.000
"38","315", Sheepshead Bay ,8.700,28.900,10.200,24.900,9.600,23.900,6.300,19.600,6.400,14.600,5.700
"39","316", Brownsville ,9.000,35.400,11.200,27.200,9.700,27.400,9.100,22.100,8.000,21.400,7.300
"40","317", East Flatbush ,10.200,35.300,12.200,27.700,10.500,27.400,8.800,22.100,8.000,20.800,7.300
"41","318", Flatlands and Canarsie ,8.200,30.500,9.600,24.500,8.700,24.800,6.900,20.000,6.700,16.200,6.000
"42","401", Long Island City and Astoria ,8.400,34.000,11.400,24.700,8.000,23.000,7.800,20.100,7.100,17.800,7.100
"43","402", Woodside and Sunnyside ,11.100,38.100,13.700,27.900,10.600,26.300,9.300,21.700,8.300,20.300,7.900
"44","403", Jackson Heights ,9.300,33.600,11.700,25.500,8.900,24.400,7.800,20.800,7.100,18.500,7.000
"45","404", Elmhurst and Corona ,10.900,36.000,13.300,27.600,10.600,27.300,8.700,22.200,8.000,20.000,7.400
"46","405", Ridgewood and Maspeth ,8.700,35.000,10.800,25.900,8.700,25.800,8.600,20.900,7.500,19.800,7.000
"47","406", Rego Park and Forest Hills ,11.900,36.300,14.000,28.200,11.400,28.500,8.700,22.500,8.000,20.200,7.200
"48","407", Flushing and Whitestone ,8.800,28.500,10.800,24.100,8.300,24.900,7.000,20.700,6.700,17.100,6.500
"49","408", Hillcrest and Fresh Meadows ,9.900,30.000,11.600,25.300,9.600,27.400,7.100,21.100,7.000,17.500,6.600
"50","409", Kew Gardens and Woodhaven ,9.700,33.600,11.600,26.200,9.700,27.600,8.000,21.400,7.300,18.800,6.700
"51","410", South Ozone Park and Howard Beach ,8.900,31.700,10.400,24.900,9.100,26.900,7.200,20.500,6.800,16.900,6.300
"52","411", Bayside and Little Neck ,9.300,25.800,11.000,24.000,8.900,26.700,6.500,20.500,6.600,15.800,6.200
"53","412", Jamaica and Hollis ,9.400,28.900,11.100,24.600,9.500,27.900,6.700,20.700,6.700,16.200,6.300
"54","413", Queens Village ,8.700,24.900,10.200,23.200,8.700,27.100,5.800,19.900,6.100,14.300,6.000
"55","414", Rockaway and Broad Channel ,8.000,25.400,9.300,22.600,8.900,25.900,5.100,19.200,5.800,10.900,5.200
"56","501", St. George and Stapleton ,6.700,25.900,8.000,20.700,7.200,17.600,6.300,14.900,5.500,14.900,4.500
"57","502", South Beach and Willowbrook ,5.900,22.200,6.900,18.200,6.600,15.900,5.200,13.700,4.700,12.600,3.800
"58","503", Tottenville and Great Kills ,5.400,17.100,6.200,14.300,6.500,13.500,4.000,12.200,3.600,10.300,2.900
