Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (mcg per cubic meter),90th Percentile (mcg per cubic meter),Mean (mcg per cubic meter),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Summer 2017,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),7.6,8.8,8.1,,,
Summer 2018,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),7.2,8,7.5,,,
Summer 2019,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),7,7.8,7.4,,,
Winter 2013-14,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),11.3,12.5,11.8,,,
Winter 2014-15,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),7.8,9.1,8.4,,,
Winter 2015-16,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),6.8,8.3,7.5,,,
Winter 2016-17,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),6.7,7.6,7.1,,,
Winter 2017-18,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),7.4,8.3,7.8,,,
Winter 2018-19,Borough,Staten Island, Staten Island,5,Fine Particulate Matter (PM2.5),6.1,7,6.5,,,
Summer 2015,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),8.7,9.7,9.1,,,
Summer 2016,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),7,8.1,7.5,,,
Summer 2017,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),8.3,9.2,8.6,,,
Summer 2018,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),7.9,8.1,8,,,
Summer 2019,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),7.1,7.6,7.3,,,
Winter 2014-15,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),8.4,9.4,8.8,,,
Winter 2015-16,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),7,8.1,7.4,,,
Winter 2016-17,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),7.5,8.3,7.8,,,
Winter 2017-18,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),7.4,7.8,7.6,,,
Winter 2018-19,Neighborhood (UHF 34),Queens, Bayside Little Neck-Fresh Meadows,404406,Fine Particulate Matter (PM2.5),6.5,7.4,6.9,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),9.1,9.8,9.5,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),7.9,8.7,8.3,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),8.8,9.6,9.1,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),8.2,8.8,8.5,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),7.8,8.6,8.1,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),8.8,9.6,9.1,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),8.3,9.3,8.8,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),7.7,8.2,7.9,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),8.3,9,8.6,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Fine Particulate Matter (PM2.5),6.8,7.8,7.2,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),8.7,9.5,8.9,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),7.7,8.5,7.9,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),8.2,9.1,8.5,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),7.6,8,7.8,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),7.5,8.2,7.8,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),8.1,9.1,8.5,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),7.2,8.4,7.7,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),7.2,7.8,7.4,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),7.9,8.4,8.1,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, Bensonhurst - Bay Ridge,209,Fine Particulate Matter (PM2.5),6.5,7.4,6.8,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),8.9,9.4,9.2,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),7.8,8.3,8.1,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),8.5,9.1,8.8,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),8,8.3,8.2,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),7.7,8.1,7.9,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),8.4,9,8.7,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),7.7,8.6,8.2,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),7.5,7.8,7.6,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),8.1,8.6,8.4,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, Borough Park,206,Fine Particulate Matter (PM2.5),6.7,7.2,6.9,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),8.4,9.9,9,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.3,8.7,7.8,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),8,9.5,8.5,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.6,8.8,8.1,,,
Summer 2019,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.3,8.4,7.7,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.8,9.4,8.4,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),6.8,8.8,7.6,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.2,8.4,7.6,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),7.4,8.8,7.9,,,
Winter 2018-19,Neighborhood (UHF 34),Brooklyn, Canarsie - Flatlands,208,Fine Particulate Matter (PM2.5),6.3,7.5,6.7,,,
Summer 2015,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Fine Particulate Matter (PM2.5),9.8,10.2,10,,,
