Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,10th Percentile (absorbance units),90th Percentile (absorbance units),Mean (absorbance units),Notes 10th Percentile,Notes 90th Percentile,Notes Mean
Winter 2012-13,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.4,1.6,1.5,,,
Winter 2013-14,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.4,1.5,1.4,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1.1,1.2,1.1,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,1,1.2,1.1,,,
Winter 2016-17,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,0.9,1,1,,,
Winter 2017-18,Neighborhood (UHF 34),Manhattan, Central Harlem - Morningside Heights,302,Black Carbon,0.9,0.9,0.9,,,
Summer 2012,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.4,2,1.7,,,
Summer 2013,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.4,2.1,1.8,,,
Summer 2014,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.3,2.2,1.8,,,
Summer 2015,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.3,2,1.7,,,
Summer 2016,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.2,2,1.6,,,
Summer 2017,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.1,1.5,1.4,,,
Summer 2018,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.2,1.8,1.4,,,
Winter 2012-13,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.3,2,1.7,,,
Winter 2013-14,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.4,2,1.7,,,
Winter 2014-15,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.2,1.8,1.5,,,
Winter 2015-16,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1.1,1.8,1.5,,,
Winter 2016-17,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,0.9,1.2,1.1,,,
Winter 2017-18,Neighborhood (UHF 34),Manhattan, Chelsea-Village,306308,Black Carbon,1,1.5,1.2,,,
Summer 2012,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.8,0.9,0.8,,,
Summer 2013,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.7,0.9,0.8,,,
Summer 2014,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Summer 2018,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.5,0.6,0.6,,,
Winter 2012-13,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.8,1,0.9,,,
Winter 2013-14,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Winter 2014-15,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.5,0.7,0.6,,,
Winter 2015-16,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.6,0.8,0.7,,,
Winter 2016-17,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.5,0.7,0.6,,,
Winter 2017-18,Neighborhood (UHF 34),Brooklyn, Coney Island - Sheepshead Bay,210,Black Carbon,0.5,0.7,0.6,,,
Summer 2012,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1.1,1.5,1.3,,,
Summer 2013,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1.1,1.4,1.2,,,
Summer 2014,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1,1.4,1.2,,,
Summer 2015,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,1,1.4,1.1,,,
Summer 2016,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.9,1.3,1.1,,,
Summer 2017,Neighborhood (UHF 34),Brooklyn, Downtown - Heights - Slope,202,Black Carbon,0.9,1.1,1,,,
